	Unnamed: 0	contrasts	copes	task	task_id	contrast_ids	id
0	0	RANDOM	cope1.feat/stats/cope1.nii.gz	tfMRI_SOCIAL	TASK06	CON01	TASK06_CON01
1	1	TOM	cope2.feat/stats/cope1.nii.gz	tfMRI_SOCIAL	TASK06	CON02	TASK06_CON02
2	2	RANDOM-TOM	cope3.feat/stats/cope1.nii.gz	tfMRI_SOCIAL	TASK06	CON03	TASK06_CON03
3	3	neg_RANDOM	cope4.feat/stats/cope1.nii.gz	tfMRI_SOCIAL	TASK06	CON04	TASK06_CON04
4	4	neg_TOM	cope5.feat/stats/cope1.nii.gz	tfMRI_SOCIAL	TASK06	CON05	TASK06_CON05
5	5	TOM-RANDOM	cope6.feat/stats/cope1.nii.gz	tfMRI_SOCIAL	TASK06	CON06	TASK06_CON06
6	0	FACES	cope1.feat/stats/cope1.nii.gz	tfMRI_EMOTION	TASK01	CON07	TASK01_CON07
7	1	SHAPES	cope2.feat/stats/cope1.nii.gz	tfMRI_EMOTION	TASK01	CON08	TASK01_CON08
8	2	FACES-SHAPES	cope3.feat/stats/cope1.nii.gz	tfMRI_EMOTION	TASK01	CON09	TASK01_CON09
9	3	neg_FACES	cope4.feat/stats/cope1.nii.gz	tfMRI_EMOTION	TASK01	CON10	TASK01_CON10
10	4	neg_SHAPES	cope5.feat/stats/cope1.nii.gz	tfMRI_EMOTION	TASK01	CON11	TASK01_CON11
11	5	SHAPES-FACES	cope6.feat/stats/cope1.nii.gz	tfMRI_EMOTION	TASK01	CON12	TASK01_CON12
12	0	MATCH	cope1.feat/stats/cope1.nii.gz	tfMRI_RELATIONAL	TASK05	CON13	TASK05_CON13
13	1	REL	cope2.feat/stats/cope1.nii.gz	tfMRI_RELATIONAL	TASK05	CON14	TASK05_CON14
14	2	MATCH-REL	cope3.feat/stats/cope1.nii.gz	tfMRI_RELATIONAL	TASK05	CON15	TASK05_CON15
15	3	REL-MATCH	cope4.feat/stats/cope1.nii.gz	tfMRI_RELATIONAL	TASK05	CON16	TASK05_CON16
16	4	neg_MATCH	cope5.feat/stats/cope1.nii.gz	tfMRI_RELATIONAL	TASK05	CON17	TASK05_CON17
17	5	neg_REL	cope6.feat/stats/cope1.nii.gz	tfMRI_RELATIONAL	TASK05	CON18	TASK05_CON18
18	0	MATH	cope1.feat/stats/cope1.nii.gz	tfMRI_LANGUAGE	TASK03	CON19	TASK03_CON19
19	1	STORY	cope2.feat/stats/cope1.nii.gz	tfMRI_LANGUAGE	TASK03	CON20	TASK03_CON20
20	2	MATH-STORY	cope3.feat/stats/cope1.nii.gz	tfMRI_LANGUAGE	TASK03	CON21	TASK03_CON21
21	3	STORY-MATH	cope4.feat/stats/cope1.nii.gz	tfMRI_LANGUAGE	TASK03	CON22	TASK03_CON22
22	4	neg_MATH	cope5.feat/stats/cope1.nii.gz	tfMRI_LANGUAGE	TASK03	CON23	TASK03_CON23
23	5	neg_STORY	cope6.feat/stats/cope1.nii.gz	tfMRI_LANGUAGE	TASK03	CON24	TASK03_CON24
24	0	PUNISH	cope1.feat/stats/cope1.nii.gz	tfMRI_GAMBLING	TASK02	CON25	TASK02_CON25
25	1	REWARD	cope2.feat/stats/cope1.nii.gz	tfMRI_GAMBLING	TASK02	CON26	TASK02_CON26
26	2	PUNISH-REWARD	cope3.feat/stats/cope1.nii.gz	tfMRI_GAMBLING	TASK02	CON27	TASK02_CON27
27	3	neg_PUNISH	cope4.feat/stats/cope1.nii.gz	tfMRI_GAMBLING	TASK02	CON28	TASK02_CON28
28	4	neg_REWARD	cope5.feat/stats/cope1.nii.gz	tfMRI_GAMBLING	TASK02	CON29	TASK02_CON29
29	5	REWARD-PUNISH	cope6.feat/stats/cope1.nii.gz	tfMRI_GAMBLING	TASK02	CON30	TASK02_CON30
