	Unnamed: 0	contrasts	copes	task	task_id	contrast_ids	id
0	0	RANDOM	cope1.feat/stats/cope1.nii.gz	tfMRI_SOCIAL	TASK06	CON01	TASK06_CON01
1	1	TOM	cope2.feat/stats/cope1.nii.gz	tfMRI_SOCIAL	TASK06	CON02	TASK06_CON02
2	5	TOM-RANDOM	cope6.feat/stats/cope1.nii.gz	tfMRI_SOCIAL	TASK06	CON06	TASK06_CON06
3	0	FACES	cope1.feat/stats/cope1.nii.gz	tfMRI_EMOTION	TASK01	CON07	TASK01_CON07
4	1	SHAPES	cope2.feat/stats/cope1.nii.gz	tfMRI_EMOTION	TASK01	CON08	TASK01_CON08
5	2	FACES-SHAPES	cope3.feat/stats/cope1.nii.gz	tfMRI_EMOTION	TASK01	CON09	TASK01_CON09
6	0	MATCH	cope1.feat/stats/cope1.nii.gz	tfMRI_RELATIONAL	TASK05	CON13	TASK05_CON13
7	1	REL	cope2.feat/stats/cope1.nii.gz	tfMRI_RELATIONAL	TASK05	CON14	TASK05_CON14
8	2	MATCH-REL	cope3.feat/stats/cope1.nii.gz	tfMRI_RELATIONAL	TASK05	CON15	TASK05_CON15
9	0	MATH	cope1.feat/stats/cope1.nii.gz	tfMRI_LANGUAGE	TASK03	CON19	TASK03_CON19
10	1	STORY	cope2.feat/stats/cope1.nii.gz	tfMRI_LANGUAGE	TASK03	CON20	TASK03_CON20
11	3	STORY-MATH	cope4.feat/stats/cope1.nii.gz	tfMRI_LANGUAGE	TASK03	CON22	TASK03_CON22
12	0	PUNISH	cope1.feat/stats/cope1.nii.gz	tfMRI_GAMBLING	TASK02	CON25	TASK02_CON25
13	1	REWARD	cope2.feat/stats/cope1.nii.gz	tfMRI_GAMBLING	TASK02	CON26	TASK02_CON26
14	2	PUNISH-REWARD	cope3.feat/stats/cope1.nii.gz	tfMRI_GAMBLING	TASK02	CON27	TASK02_CON27
15	0	2BK_BODY	cope1.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON31	TASK07_CON31
16	1	2BK_FACE	cope2.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON32	TASK07_CON32
17	2	2BK_PLACE	cope3.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON33	TASK07_CON33
18	3	2BK_TOOL	cope4.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON34	TASK07_CON34
19	4	0BK_BODY	cope5.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON35	TASK07_CON35
20	5	0BK_FACE	cope6.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON36	TASK07_CON36
21	6	0BK_PLACE	cope7.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON37	TASK07_CON37
22	7	0BK_TOOL	cope8.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON38	TASK07_CON38
23	8	2BK	cope9.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON39	TASK07_CON39
24	9	0BK	cope10.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON40	TASK07_CON40
25	10	2BK-0BK	cope11.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON41	TASK07_CON41
26	14	BODY	cope15.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON45	TASK07_CON45
27	15	FACE	cope16.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON46	TASK07_CON46
28	16	PLACE	cope17.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON47	TASK07_CON47
29	17	TOOL	cope18.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON48	TASK07_CON48
30	18	BODY-AVG	cope19.feat/stats/cope1.nii.gz	tfMRI_WM	TASK07	CON49	TASK07_CON49
